visit_id,dataset_id,habitat,latitude,dataset_name,date,cor_long,ras_num
506,276,Xerophytic forest,-29.433,LasGamas2004Spring,16/11/2004,-60.467,4
496,266,Xerophytic forest,-29.433,LasGamas2005Summer,27/01/2005,-60.467,4
491,261,Xerophytic forest,-29.433,LasGamas2005Winter,14/06/2005,-60.467,4
266,166,Xerophytic Forest,-29.433,LasGamas2010,13/12/2010,-60.467,4
271,171,Xerophytic Forest,-29.433,LasGamas2012,05/01/2012,-60.467,4
281,181,Xerophytic Forest,-29.433,LasGamas2013,04/02/2013,-60.467,4
511,146,open_restinga,-25.072,Cardoso2011,01/03/2011,-47.923,1
231,146,Restinga - Open,-25.072,Cardoso2011,05/02/2011,-47.923,1
21,6,"closed restinga forest, Quesnelia arvensis",-25.0716,Cardoso2008,17/01/2008,-47.9234,1
246,156,Restinga - Closed,-24.431,Jureia2013,14/12/2013,-47.109,1
481,251,Restinga - Open,-23.7375,IlhaBella2015,28/04/2015,-45.2912,1
241,151,Restinga - Closed,-23.3541,Picinguaba2011,14/12/2011,-44.828,1
346,161,Riparian Forest,-23.2433,SerraDoJapi2011,29/03/2011,-46.9513,1
251,161,Semidecidual Forest,-23.233,SerraDoJapi2011,17/01/2011,-46.967,1
471,241,Restinga-Open,-22.9513,ArraialDoCabo2015,15/04/2015,-42.0431,1
476,246,Restinga - Open,-22.9472,Marica2015,23/04/2015,-42.8875,1
211,141,Restinga - Open,-22.2954,Macae2008,08/01/2008,-41.6857,1
456,236,Restinga-Open,-22.2075,Macae2015,14/03/2015,-41.4847,1
296,191,Secondary Forest,4.5146,Kaw2008,15/10/2008,-52.0665,2
311,201,Inselberg - Rock Savanna - Site 5,4.083,Nouragues2006,23/03/2006,-52.683,2
326,201,Primary Forest - Site 4,4.083,Nouragues2006,23/03/2006,-52.683,2
316,201,Primary rainforest  Creek- Site 1,4.083,Nouragues2006,23/03/2006,-52.683,2
306,201,Transition Forest - Site 2,4.083,Nouragues2006,23/03/2006,-52.683,2
331,206,Inselberg - Rock Savanna,4.083,Nouragues2009,07/10/2009,-52.683,2
341,216,Primary Forest,5.0629,PetitSaut2014,28/10/2014,-53.0475,2
336,211,Secondary forest - Urban,5.3746,Sinnamary2011,29/06/2011,-52.9546,2
91,76,"Cloud forest, secondary",4.7945,Guasca2001,08/12/2001,-73.9087,3
96,81,Cloud Forest,5.017,Sisga2000,10/03/2000,-73.7,3
291,186,Primary Forest,5.0629,PetitSaut2007,26/01/2007,-53.0475,2
286,186,Secondary Forest,5.0629,PetitSaut2007,26/01/2007,-53.0475,2
301,196,Secondary Forest,5.0629,PetitSaut2008,21/10/2008,-53.0475,2
366,86,mountain forest secondary forest,5.07686,RioBlanco2012,12/03/2012,-75.4588,3
371,91,mountain forest secondary forest,5.07686,RioBlanco2014,01/04/2014,-75.4588,3
41,51,Primary and Secondary Forest,10.983,Pitilla1997,11/09/1997,-85.433,3
46,56,Primary - 2m above ground,10.983,Pitilla2000,12/10/2000,-85.433,3
51,56,Primary - Canopy,10.983,Pitilla2000,12/10/2000,-85.433,3
56,61,Secondary,10.983,Pitilla2002,18/10/2002,-85.433,3
61,66,Secondary and Primary forest,10.983,Pitilla2004,06/10/2004,-85.433,3
86,71,Secondary Forest and Pasture,10.983,Pitilla2010,06/11/2010,-85.433,3
201,136,Cloud Forest,15.51,Dominica2002,14/02/2002,-61.41,3
196,136,Montane Thicket,15.51,Dominica2002,14/02/2002,-61.31,3
191,136,Subtropical,15.375,Dominica2002,14/02/2002,-61.335,3
106,101,"cloud forest, primary and secondary",15.542,Cusuco2006,23/07/2006,-88.264,3
111,106,Lower Montane Tropical Forest,15.542,Cusuco2007,10/07/2007,-88.264,3
451,111,Dry forest,17.6327,Saba2009,27/01/2009,-63.228,3
121,111,LM = Montane,17.63,Saba2009,20/01/2009,-63.24,3
